airport,passenger_rank,passenger_2019,passenger_2018,cargomail_rank,cargomail_2019,cargomail_2018,cycles_rank,cycles_2019,cycles_2018
TCZ,93,1367494.0,1170230.0,85,3005.7,2265.0,120,12542,10691.0
DAT,94,1307139.0,1016273.0,96,1923.8,1615.2,83,23506,28216.0
BSD,95,1228964.0,1016018.0,107,1555.5,1364.0,125,11047,9423.0
BFJ,96,1217071.0,1216557.0,137,743.2,835.1,114,14220,13622.0
NNY,97,1177895.0,907505.0,125,1016.9,1084.6,53,62205,52987.0
WXN,98,1151410.0,870042.0,104,1731.8,2048.4,93,20122,25310.0
TGO,99,1128515.0,983058.0,93,2042.6,1837.1,95,19532,43447.0
CGD,100,1106061.0,726357.0,157,361.3,609.7,39,92522,97832.0
HNY,101,1102857.0,816232.0,114,1258.6,760.0,124,11095,8646.0
XIC,102,1087186.0,676804.0,95,1946.3,1584.2,126,10427,6324.0
MDG,103,1048088.0,933716.0,112,1290.0,1237.0,139,8128,7464.0
RIZ,104,1017891.0,901253.0,100,1773.4,1448.7,27,126020,79574.0
NAO,105,1011625.0,942932.0,91,2259.6,3720.1,97,19406,41326.0
YBP,106,1000744.0,974810.0,83,3396.1,3225.1,128,10116,9633.0
HDG,107,970700.0,763938.0,124,1026.1,1005.2,51,64904,73282.0
TEN,108,924490.0,1276640.0,191,93.4,173.9,134,8278,13506.0
FUG,109,922159.0,799575.0,144,569.4,383.8,112,14717,15505.0
DNH,110,901960.0,757672.0,143,606.8,422.4,136,8201,7661.0
DOY,111,880145.0,691122.0,147,488.4,297.3,62,45718,34670.0
FUO,112,877725.0,109228.0,165,285.8,129.0,157,5751,817.0
JGS,113,870195.0,658062.0,152,413.6,2534.9,131,8864,6990.0
TXN,114,869681.0,761230.0,94,2002.4,2250.6,130,9288,8206.0
KRY,115,868285.0,590497.0,140,700.4,419.9,87,21473,29832.0
CIH,116,862824.0,690257.0,122,1045.8,777.1,129,10083,7876.0
DQA,117,858021.0,831589.0,111,1324.6,1419.9,148,6697,6539.0
HLH,118,845020.0,737748.0,102,1756.7,1642.0,68,38129,47169.0
JMU,119,787594.0,865076.0,119,1098.6,1152.2,155,5891,7015.0
YIC,120,777861.0,639834.0,163,343.9,409.8,138,8148,7014.0
LFQ,121,768232.0,387321.0,150,422.5,508.9,132,8762,4453.0
XIL,122,756113.0,622849.0,97,1863.8,1693.4,74,28361,17421.0
XAI,123,728493.0,93305.0,231,,,133,8619,1038.0
ENY,124,686240.0,386548.0,117,1161.1,582.0,147,6775,3760.0
MXZ,125,672614.0,512504.0,180,157.1,198.8,135,8243,6486.0
HZG,126,651284.0,494960.0,92,2213.5,1156.1,118,13383,14439.0
WUS,127,641118.0,643017.0,131,815.5,976.1,142,7087,7071.0
SYM,128,620978.0,639929.0,113,1273.7,1171.9,140,7851,7540.0
DIG,129,617941.0,592253.0,136,772.1,1047.0,145,6852,6682.0
HJJ,130,606477.0,498341.0,204,28.7,22.6,75,27590,28709.0
AQG,131,592913.0,477634.0,90,2310.1,1727.9,152,6076,4964.0
JDZ,132,583033.0,513632.0,135,792.9,647.4,150,6204,5065.0
JGN,133,580971.0,561393.0,98,1801.9,1398.0,167,5089,5261.0
DAX,134,571290.0,513515.0,108,1369.0,1277.9,143,6930,5826.0
BAR,135,558674.0,550527.0,145,533.6,485.5,103,17460,18998.0
LZY,136,557878.0,484506.0,88,2526.2,2231.4,144,6894,5306.0
YYA,137,556266.0,1469.0,198,45.3,,161,5640,12.0
PZI,138,547023.0,385358.0,105,1700.1,1330.7,160,5668,3986.0
JUH,139,524471.0,450910.0,128,934.6,834.7,162,5638,4880.0
WUA,140,524168.0,481269.0,138,724.5,659.5,164,5587,5694.0
NBS,141,524084.0,549691.0,184,136.6,147.2,158,5738,6339.0
BPE,142,506522.0,414224.0,156,378.8,513.1,76,26013,27001.0
TVS,143,505175.0,574333.0,121,1057.7,1192.2,165,5341,6052.0
SQD,144,500156.0,375030.0,181,153.8,121.1,154,5982,4558.0
AAT,145,498279.0,397391.0,158,354.3,269.9,137,8153,6756.0
JIQ,146,498128.0,409902.0,174,214.2,163.4,159,5672,4923.0
GYS,147,491287.0,255477.0,155,379.2,350.2,58,54936,30839.0
IQN,148,488805.0,419674.0,172,230.2,67.0,84,22558,21699.0
WUT,149,487202.0,327784.0,186,118.0,54.5,153,5994,4696.0
LNJ,150,470174.0,440867.0,139,720.2,651.0,169,5028,4106.0
WEF,151,468598.0,724754.0,49,13844.9,24072.0,171,4613,6910.0
LLV,152,458481.0,367304.0,170,235.1,103.2,151,6160,4294.0
JMJ,153,453411.0,232793.0,176,176.3,30.8,168,5076,2514.0
NDG,154,446650.0,409783.0,127,948.9,919.5,185,3532,3616.0
RLK,155,428865.0,352570.0,132,807.8,714.2,163,5627,4442.0
KCA,156,424579.0,321086.0,146,491.7,473.0,156,5793,4202.0
CDE,157,424397.0,436893.0,199,45.1,94.1,190,3218,3481.0
YKH,158,406536.0,297963.0,166,276.5,71.6,175,4279,3156.0
JUZ,159,404092.0,251032.0,130,839.4,750.2,182,3604,2034.0
WGN,160,386367.0,469694.0,226,0.8,0.5,176,4268,5194.0
JNZ,161,385467.0,294297.0,133,801.0,809.4,188,3248,2568.0
GYU,162,379418.0,226235.0,194,60.2,24.9,79,24482,22436.0
NZH,163,375069.0,428080.0,129,882.0,1018.5,172,4516,4844.0
BPX,164,373319.0,325065.0,110,1330.5,1097.6,178,4210,3364.0
ZAT,165,369390.0,346579.0,164,334.4,479.1,177,4220,4058.0
AVA,166,368934.0,441391.0,161,347.0,730.0,146,6836,6978.0
TLQ,167,341953.0,193069.0,167,259.7,554.9,149,6216,3518.0
TCG,168,338732.0,270128.0,171,230.5,131.7,141,7704,3684.0
CWJ,169,337203.0,164598.0,188,98.8,48.0,192,2944,1548.0
LPF,170,323636.0,430977.0,196,55.3,63.4,173,4502,5536.0
QSZ,171,320302.0,212532.0,120,1076.4,523.9,174,4285,2356.0
YUS,172,318714.0,302796.0,101,1771.9,902.8,183,3578,3704.0
ZQZ,173,304009.0,387230.0,197,49.5,88.4,195,2776,3647.0
BPL,174,303664.0,168933.0,200,44.4,112.3,55,56156,56508.0
HMI,175,283483.0,398645.0,134,796.5,804.2,179,3804,4790.0
LNL,176,282041.0,147216.0,179,157.6,17.1,187,3369,2193.0
JXA,177,274482.0,215872.0,183,139.2,149.0,180,3722,3342.0
ZHY,178,265650.0,243519.0,151,419.9,178.2,61,46968,38737.0
DDG,179,259048.0,83241.0,141,652.1,432.0,209,2053,715.0
SQJ,180,255569.0,204039.0,168,259.2,276.3,194,2865,2392.0
ERL,181,231969.0,205826.0,154,393.8,391.3,166,5146,4174.0
LCX,182,229087.0,205031.0,148,454.6,359.0,206,2192,1938.0
GOQ,183,227098.0,183683.0,103,1739.0,1255.7,189,3235,2444.0
WUZ,184,226410.0,,222,1.1,,48,82793,107361.0
DCY,185,226273.0,242091.0,177,167.6,223.3,198,2612,2323.0
AEB,186,225185.0,180801.0,203,34.2,29.9,193,2908,2446.0
HEK,187,215947.0,180905.0,201,35.8,49.0,197,2730,3083.0
NLH,188,215886.0,163599.0,192,62.4,43.6,208,2168,1622.0
YZY,189,213714.0,176848.0,153,398.3,159.8,212,1884,1618.0
THQ,190,201567.0,179691.0,175,176.4,97.5,186,3498,3172.0
BZX,191,196861.0,,221,1.2,,217,1460,
JIC,192,193976.0,174000.0,178,164.9,112.9,205,2202,2018.0
JGD,193,182783.0,156084.0,190,97.4,73.5,184,3558,3281.0
AOG,194,182555.0,260922.0,238,,4.7,215,1750,2564.0
WNH,195,165426.0,159749.0,187,105.9,60.6,122,11662,13084.0
UCB,196,164782.0,395951.0,173,219.3,150.6,216,1750,5461.0
KJI,197,164511.0,66731.0,214,9.6,2.5,191,3059,1496.0
TWC,198,163679.0,887.0,185,119.6,1.5,201,2387,12.0
LDS,199,161776.0,162113.0,206,26.2,39.6,214,1804,1818.0
CHG,200,157973.0,172962.0,208,19.7,21.6,36,104750,98393.0
AXF,201,156042.0,165858.0,224,0.9,1.4,170,4830,6164.0
RKZ,202,155432.0,81349.0,149,430.2,269.3,213,1856,976.0
LLB,203,155182.0,182668.0,205,27.4,1.1,200,2398,3500.0
YSQ,204,152441.0,159477.0,195,58.1,54.8,99,18286,18741.0
TNH,205,145734.0,116391.0,235,,,219,1414,1174.0
NZL,206,141173.0,128618.0,193,61.9,21.9,110,14868,2562.0
IQM,207,135663.0,71450.0,215,8.9,8.7,207,2185,1068.0
GMQ,208,135125.0,125139.0,115,1243.1,444.5,221,1388,1190.0
RQA,209,131110.0,35539.0,202,34.4,46.7,203,2269,578.0
JSJ,210,129866.0,82449.0,233,,,196,2748,1455.0
NLT,211,113092.0,82057.0,209,19.5,69.0,210,2002,999.0
HTT,212,107563.0,107354.0,116,1201.5,723.0,211,1889,1324.0
YIE,213,104036.0,103880.0,159,354.2,387.3,204,2208,1968.0
KJH,214,94791.0,141478.0,217,4.5,1.7,199,2596,3191.0
NGQ,215,90898.0,75028.0,211,17.7,27.1,225,1066,968.0
GXH,216,86091.0,122024.0,169,241.8,314.5,220,1400,1928.0
OHE,217,84697.0,80735.0,189,98.6,80.0,218,1434,1708.0
HUO,218,83973.0,91923.0,216,5.3,4.1,202,2321,2126.0
HXD,219,78753.0,77077.0,162,345.9,136.9,222,1353,887.0
XYI,220,71391.0,58271.0,160,351.2,65.0,229,754,728.0
LLF,221,70849.0,250102.0,218,1.6,11.8,226,958,3374.0
DBC,222,65178.0,86246.0,223,1.0,0.9,230,722,1088.0
FYN,223,65107.0,27638.0,213,16.0,15.9,66,39086,23436.0
DTU,224,62942.0,39673.0,230,,,223,1336,833.0
GZG,225,55020.0,83584.0,212,17.3,90.5,224,1290,1444.0
FYJ,226,54435.0,58444.0,220,1.2,1.4,228,826,922.0
SHF,227,48659.0,169181.0,210,17.8,107.6,121,12194,2684.0
HPG,228,44446.0,20321.0,234,,,227,898,482.0
AHJ,229,39502.0,28250.0,237,,,231,682,454.0
HBQ,230,31566.0,13137.0,182,141.7,,235,536,236.0
EJN,231,21549.0,21249.0,227,0.4,,232,666,644.0
HCJ,232,20963.0,22446.0,229,0.0,,233,650,567.0
JZH,233,20459.0,21538.0,207,21.1,20.6,237,286,332.0
HZH,234,20064.0,50747.0,239,,1.8,181,3651,1128.0
BHT,235,13508.0,12540.0,228,0.1,,234,616,596.0
WSK,236,13363.0,,219,1.6,,238,184,
GZG,237,9601.0,,225,0.8,,239,104,
CNI,238,3260.0,2720.0,236,,,236,436,432.0
AKA,239,,,232,,,33,109351,81767.0
